Model: boxes_aligned
Mesh: TriangleMesh with 392648 points and 588972 triangles.
Ellipsoid Dimensions: (0.025, 0.025, 0.04)
Start Point: [-0.89  0.36  0.  ]
Goal Point: [ 0.59 -0.57  0.  ]
Max Time Per Path: 5

Planner: PRM
  Status: Successful
  Total Time Taken: 11.1 seconds
  Number of Paths: 100
  Average Path Length: 2.1988
  Shortest Path Length: 1.89
  Longest Path Length: 2.99
  Path Length Std Dev: 0.19098837660967752
  Average Time Per Path: 0.10869999999999999 seconds
  Time Per Path Std Dev: 0.04408298991674678 seconds

  Paths:
    Path 88: Length = 1.94 units, Duration = 5.01 seconds
    Path 89: Length = 1.89 units, Duration = 5.03 seconds
    Path 90: Length = 1.95 units, Duration = 5.01 seconds
    Path 91: Length = 1.91 units, Duration = 5.02 seconds
    Path 92: Length = 1.9 units, Duration = 5.04 seconds
    Path 93: Length = 1.91 units, Duration = 5.02 seconds
    Path 94: Length = 1.88 units, Duration = 5.02 seconds
    Path 95: Length = 1.92 units, Duration = 5.02 seconds
    Path 96: Length = 1.91 units, Duration = 5.05 seconds
    Path 97: Length = 1.91 units, Duration = 5.02 seconds
    Path 98: Length = 1.9 units, Duration = 5.01 seconds
    Path 99: Length = 1.91 units, Duration = 5.03 seconds
    Path 100: Length = 1.93 units, Duration = 5.07 seconds

Planner: LazyPRMstar
  Status: Successful
  Total Time Taken: 509.08 seconds
  Number of Paths: 100
  Average Path Length: 1.9043999999999996
  Shortest Path Length: 1.87
  Longest Path Length: 1.94
  Path Length Std Dev: 0.016390240998838304
  Average Time Per Path: 5.0665 seconds
  Time Per Path Std Dev: 0.11563195925002742 seconds

  Paths:
    Path 1: Length = 1.93 units, Duration = 5.02 seconds
    Path 2: Length = 1.91 units, Duration = 5.01 seconds
    Path 3: Length = 1.91 units, Duration = 5.01 seconds
    Path 4: Length = 1.92 units, Duration = 5.04 seconds
    Path 5: Length = 1.92 units, Duration = 5.05 seconds
    Path 6: Length = 1.93 units, Duration = 5.02 seconds
    Path 7: Length = 1.89 units, Duration = 5.03 seconds
    Path 8: Length = 1.91 units, Duration = 5.06 seconds
    Path 9: Length = 1.91 units, Duration = 5.06 seconds
    Path 10: Length = 1.9 units, Duration = 5.03 seconds
    Path 11: Length = 1.91 units, Duration = 5.02 seconds
    Path 12: Length = 1.9 units, Duration = 5.01 seconds
    Path 13: Length = 1.91 units, Duration = 5.03 seconds
    Path 14: Length = 1.92 units, Duration = 5.04 seconds
    Path 15: Length = 1.93 units, Duration = 5.03 seconds
    Path 16: Length = 1.89 units, Duration = 5.02 seconds
    Path 17: Length = 1.92 units, Duration = 5.06 seconds
    Path 18: Length = 1.93 units, Duration = 5.02 seconds
    Path 19: Length = 1.89 units, Duration = 5.04 seconds
    Path 20: Length = 1.89 units, Duration = 5.01 seconds
    Path 21: Length = 1.91 units, Duration = 5.04 seconds
    Path 22: Length = 1.92 units, Duration = 5.05 seconds
    Path 23: Length = 1.89 units, Duration = 5.02 seconds
    Path 24: Length = 1.93 units, Duration = 5.06 seconds
    Path 25: Length = 1.89 units, Duration = 5.02 seconds
    Path 26: Length = 1.91 units, Duration = 5.03 seconds
    Path 27: Length = 1.92 units, Duration = 5.02 seconds
    Path 28: Length = 1.88 units, Duration = 5.02 seconds
    Path 29: Length = 1.9 units, Duration = 5.05 seconds
    Path 30: Length = 1.9 units, Duration = 5.03 seconds
    Path 31: Length = 1.9 units, Duration = 5.05 seconds
    Path 32: Length = 1.87 units, Duration = 5.02 seconds
    Path 33: Length = 1.9 units, Duration = 5.03 seconds
    Path 34: Length = 1.89 units, Duration = 5.04 seconds
    Path 35: Length = 1.92 units, Duration = 5.06 seconds
    Path 36: Length = 1.92 units, Duration = 5.01 seconds
    Path 37: Length = 1.93 units, Duration = 5.04 seconds
    Path 38: Length = 1.9 units, Duration = 5.03 seconds
    Path 39: Length = 1.9 units, Duration = 5.03 seconds
    Path 40: Length = 1.92 units, Duration = 5.01 seconds
    Path 41: Length = 1.92 units, Duration = 5.04 seconds
    Path 42: Length = 1.93 units, Duration = 5.03 seconds
    Path 43: Length = 1.92 units, Duration = 5.04 seconds
    Path 44: Length = 1.9 units, Duration = 5.02 seconds
    Path 45: Length = 1.9 units, Duration = 5.06 seconds
    Path 46: Length = 1.92 units, Duration = 5.01 seconds
    Path 47: Length = 1.91 units, Duration = 5.02 seconds
    Path 48: Length = 1.89 units, Duration = 5.01 seconds
    Path 49: Length = 1.92 units, Duration = 5.05 seconds
    Path 50: Length = 1.87 units, Duration = 5.02 seconds
    Path 51: Length = 1.89 units, Duration = 5.04 seconds
    Path 52: Length = 1.92 units, Duration = 5.02 seconds
    Path 53: Length = 1.88 units, Duration = 5.05 seconds
    Path 54: Length = 1.88 units, Duration = 5.06 seconds
    Path 55: Length = 1.93 units, Duration = 5.43 seconds
    Path 56: Length = 1.93 units, Duration = 5.01 seconds
    Path 57: Length = 1.89 units, Duration = 5.01 seconds
    Path 58: Length = 1.89 units, Duration = 5.06 seconds
    Path 59: Length = 1.91 units, Duration = 5.01 seconds
    Path 60: Length = 1.9 units, Duration = 5.06 seconds
    Path 61: Length = 1.88 units, Duration = 5.46 seconds
    Path 62: Length = 1.9 units, Duration = 5.02 seconds
    Path 63: Length = 1.88 units, Duration = 5.04 seconds
    Path 64: Length = 1.91 units, Duration = 5.01 seconds
    Path 65: Length = 1.89 units, Duration = 5.08 seconds
    Path 66: Length = 1.92 units, Duration = 5.01 seconds
    Path 67: Length = 1.88 units, Duration = 5.47 seconds
    Path 68: Length = 1.92 units, Duration = 5.06 seconds
    Path 69: Length = 1.89 units, Duration = 5.05 seconds
    Path 70: Length = 1.89 units, Duration = 5.06 seconds
    Path 71: Length = 1.92 units, Duration = 5.06 seconds
    Path 72: Length = 1.92 units, Duration = 5.01 seconds
    Path 73: Length = 1.88 units, Duration = 5.34 seconds
