Model: stonehenge
Mesh: TriangleMesh with 10995 points and 18402 triangles, and textures of size (4096, 4096) (2048, 2048) (1024, 1024) (2048, 2048) (1024, 1024) (2048, 2048) (2048, 2048) (2048, 2048) 
Ellipsoid Dimensions: (0.025, 0.025, 0.04)
Start Point: [-1.24  0.31  0.08]
Goal Point: [ 0.46 -0.79  0.08]
Max Time Per Path: 5

Planner: PRM
  Status: Successful
  Total Time Taken: 11.64 seconds
  Number of Paths: 100
  Average Path Length: 2.2478
  Shortest Path Length: 2.08
  Longest Path Length: 2.75
  Path Length Std Dev: 0.15726779708509941
  Average Time Per Path: 0.1128 seconds
  Time Per Path Std Dev: 0.08858984140407974 seconds

  Paths:
    Path 2: Length = 2.1 units, Duration = 5.05 seconds
    Path 3: Length = 2.1 units, Duration = 5.01 seconds
    Path 4: Length = 2.14 units, Duration = 5.03 seconds
    Path 5: Length = 2.1 units, Duration = 5.02 seconds
    Path 6: Length = 2.09 units, Duration = 5.02 seconds
    Path 7: Length = 2.11 units, Duration = 5.01 seconds
    Path 8: Length = 2.16 units, Duration = 5.06 seconds
    Path 9: Length = 2.07 units, Duration = 5.01 seconds
    Path 10: Length = 2.08 units, Duration = 5.34 seconds
    Path 11: Length = 2.09 units, Duration = 5.02 seconds
    Path 12: Length = 2.12 units, Duration = 5.02 seconds
    Path 13: Length = 2.08 units, Duration = 5.02 seconds
    Path 14: Length = 2.1 units, Duration = 5.01 seconds
    Path 15: Length = 2.09 units, Duration = 5.03 seconds
    Path 16: Length = 2.07 units, Duration = 6.27 seconds
    Path 17: Length = 2.09 units, Duration = 5.04 seconds
    Path 18: Length = 2.08 units, Duration = 5.03 seconds
    Path 19: Length = 2.09 units, Duration = 5.01 seconds
    Path 20: Length = 2.13 units, Duration = 5.05 seconds
    Path 21: Length = 2.15 units, Duration = 5.05 seconds
    Path 22: Length = 2.09 units, Duration = 6.22 seconds
    Path 23: Length = 2.08 units, Duration = 5.01 seconds
    Path 24: Length = 2.1 units, Duration = 5.01 seconds
    Path 25: Length = 2.09 units, Duration = 5.05 seconds
    Path 26: Length = 2.08 units, Duration = 5.06 seconds
    Path 27: Length = 2.1 units, Duration = 5.05 seconds
    Path 28: Length = 2.13 units, Duration = 5.39 seconds
    Path 29: Length = 2.1 units, Duration = 5.01 seconds
    Path 30: Length = 2.08 units, Duration = 5.01 seconds
    Path 31: Length = 2.07 units, Duration = 5.01 seconds
    Path 32: Length = 2.06 units, Duration = 5.05 seconds
    Path 33: Length = 2.09 units, Duration = 5.06 seconds
    Path 34: Length = 2.1 units, Duration = 5.06 seconds
    Path 35: Length = 2.15 units, Duration = 5.03 seconds
    Path 36: Length = 2.08 units, Duration = 5.02 seconds
    Path 37: Length = 2.11 units, Duration = 5.01 seconds
    Path 38: Length = 2.09 units, Duration = 5.01 seconds
    Path 39: Length = 2.08 units, Duration = 5.01 seconds
    Path 40: Length = 2.1 units, Duration = 5.06 seconds
    Path 41: Length = 2.1 units, Duration = 5.01 seconds
    Path 42: Length = 2.12 units, Duration = 5.02 seconds
    Path 43: Length = 2.13 units, Duration = 5.01 seconds
    Path 44: Length = 2.14 units, Duration = 5.01 seconds
    Path 45: Length = 2.08 units, Duration = 5.05 seconds
    Path 46: Length = 2.08 units, Duration = 5.05 seconds
    Path 47: Length = 2.13 units, Duration = 5.03 seconds
    Path 48: Length = 2.09 units, Duration = 5.01 seconds
    Path 49: Length = 2.13 units, Duration = 5.01 seconds
    Path 50: Length = 2.08 units, Duration = 5.01 seconds
    Path 51: Length = 2.09 units, Duration = 5.01 seconds
    Path 52: Length = 2.1 units, Duration = 5.06 seconds
    Path 53: Length = 2.1 units, Duration = 5.76 seconds
    Path 54: Length = 2.08 units, Duration = 5.01 seconds
    Path 55: Length = 2.09 units, Duration = 5.01 seconds
    Path 56: Length = 2.09 units, Duration = 5.01 seconds
    Path 57: Length = 2.1 units, Duration = 5.01 seconds
    Path 58: Length = 2.09 units, Duration = 5.01 seconds
    Path 59: Length = 2.1 units, Duration = 6.31 seconds
    Path 60: Length = 2.1 units, Duration = 5.01 seconds
    Path 61: Length = 2.08 units, Duration = 5.01 seconds
    Path 62: Length = 2.13 units, Duration = 5.01 seconds
    Path 63: Length = 2.07 units, Duration = 5.01 seconds
    Path 64: Length = 2.1 units, Duration = 5.01 seconds
    Path 65: Length = 2.09 units, Duration = 6.3 seconds
    Path 66: Length = 2.08 units, Duration = 5.02 seconds
    Path 67: Length = 2.09 units, Duration = 5.01 seconds
    Path 68: Length = 2.08 units, Duration = 5.05 seconds
    Path 69: Length = 2.1 units, Duration = 5.05 seconds
    Path 70: Length = 2.13 units, Duration = 5.05 seconds
    Path 71: Length = 2.1 units, Duration = 5.39 seconds
    Path 72: Length = 2.13 units, Duration = 5.01 seconds
    Path 73: Length = 2.1 units, Duration = 5.01 seconds
    Path 74: Length = 2.1 units, Duration = 5.05 seconds
    Path 75: Length = 2.1 units, Duration = 5.01 seconds
    Path 76: Length = 2.06 units, Duration = 5.06 seconds
    Path 77: Length = 2.08 units, Duration = 5.06 seconds
    Path 78: Length = 2.09 units, Duration = 5.03 seconds
    Path 79: Length = 2.08 units, Duration = 5.04 seconds
    Path 80: Length = 2.09 units, Duration = 5.02 seconds
    Path 81: Length = 2.11 units, Duration = 5.02 seconds
    Path 82: Length = 2.08 units, Duration = 5.01 seconds
    Path 83: Length = 2.11 units, Duration = 5.01 seconds
    Path 84: Length = 2.12 units, Duration = 5.04 seconds
    Path 85: Length = 2.1 units, Duration = 5.01 seconds
    Path 86: Length = 2.06 units, Duration = 5.05 seconds
    Path 87: Length = 2.09 units, Duration = 5.04 seconds
    Path 88: Length = 2.09 units, Duration = 5.03 seconds
    Path 89: Length = 2.08 units, Duration = 5.01 seconds
    Path 90: Length = 2.1 units, Duration = 5.05 seconds
    Path 91: Length = 2.09 units, Duration = 5.03 seconds
    Path 92: Length = 2.12 units, Duration = 5.06 seconds
    Path 93: Length = 2.07 units, Duration = 5.03 seconds
    Path 94: Length = 2.12 units, Duration = 5.01 seconds
    Path 95: Length = 2.1 units, Duration = 5.01 seconds
    Path 96: Length = 2.11 units, Duration = 5.73 seconds
    Path 97: Length = 2.12 units, Duration = 5.03 seconds
    Path 98: Length = 2.11 units, Duration = 5.02 seconds
    Path 99: Length = 2.09 units, Duration = 5.01 seconds
    Path 100: Length = 2.11 units, Duration = 5.01 seconds

Planner: LazyPRMstar
  Status: Successful
  Total Time Taken: 521.85 seconds
  Number of Paths: 100
  Average Path Length: 2.0941
  Shortest Path Length: 2.07
  Longest Path Length: 2.14
  Path Length Std Dev: 0.013423486879346972
  Average Time Per Path: 5.149 seconds
  Time Per Path Std Dev: 0.33722544387990655 seconds

  Paths:
    Path 1: Length = 2.07 units, Duration = 5.03 seconds
    Path 2: Length = 2.09 units, Duration = 5.07 seconds
    Path 3: Length = 2.1 units, Duration = 5.04 seconds
    Path 4: Length = 2.08 units, Duration = 5.03 seconds
    Path 5: Length = 2.11 units, Duration = 5.04 seconds
    Path 6: Length = 2.1 units, Duration = 5.03 seconds
    Path 7: Length = 2.08 units, Duration = 5.01 seconds
    Path 8: Length = 2.08 units, Duration = 5.06 seconds
    Path 9: Length = 2.08 units, Duration = 5.05 seconds
    Path 10: Length = 2.09 units, Duration = 5.06 seconds
    Path 11: Length = 2.08 units, Duration = 5.01 seconds
    Path 12: Length = 2.08 units, Duration = 5.03 seconds
    Path 13: Length = 2.09 units, Duration = 5.02 seconds
    Path 14: Length = 2.09 units, Duration = 5.03 seconds
    Path 15: Length = 2.08 units, Duration = 5.03 seconds
    Path 16: Length = 2.09 units, Duration = 5.05 seconds
    Path 17: Length = 2.12 units, Duration = 6.17 seconds
    Path 18: Length = 2.1 units, Duration = 5.04 seconds
    Path 19: Length = 2.09 units, Duration = 5.02 seconds
    Path 20: Length = 2.09 units, Duration = 5.02 seconds
    Path 21: Length = 2.13 units, Duration = 5.04 seconds
    Path 22: Length = 2.11 units, Duration = 5.01 seconds
    Path 23: Length = 2.09 units, Duration = 5.34 seconds
    Path 24: Length = 2.09 units, Duration = 5.02 seconds
    Path 25: Length = 2.1 units, Duration = 5.0 seconds
    Path 26: Length = 2.08 units, Duration = 5.01 seconds
    Path 27: Length = 2.1 units, Duration = 5.01 seconds
    Path 28: Length = 2.09 units, Duration = 5.01 seconds
    Path 29: Length = 2.1 units, Duration = 6.28 seconds
    Path 30: Length = 2.1 units, Duration = 5.01 seconds
    Path 31: Length = 2.09 units, Duration = 5.06 seconds
    Path 32: Length = 2.09 units, Duration = 5.06 seconds
    Path 33: Length = 2.09 units, Duration = 5.05 seconds
    Path 34: Length = 2.1 units, Duration = 5.06 seconds
    Path 35: Length = 2.1 units, Duration = 5.27 seconds
    Path 36: Length = 2.11 units, Duration = 5.08 seconds
    Path 37: Length = 2.08 units, Duration = 5.02 seconds
    Path 38: Length = 2.09 units, Duration = 5.04 seconds
    Path 39: Length = 2.09 units, Duration = 5.01 seconds
    Path 40: Length = 2.1 units, Duration = 5.04 seconds
    Path 41: Length = 2.08 units, Duration = 5.33 seconds
    Path 42: Length = 2.09 units, Duration = 5.02 seconds
    Path 43: Length = 2.09 units, Duration = 5.01 seconds
    Path 44: Length = 2.08 units, Duration = 5.01 seconds
    Path 45: Length = 2.08 units, Duration = 5.06 seconds
    Path 46: Length = 2.09 units, Duration = 5.02 seconds
    Path 47: Length = 2.09 units, Duration = 6.19 seconds
    Path 48: Length = 2.09 units, Duration = 5.02 seconds
    Path 49: Length = 2.1 units, Duration = 5.01 seconds
    Path 50: Length = 2.14 units, Duration = 5.02 seconds
    Path 51: Length = 2.12 units, Duration = 5.03 seconds
    Path 52: Length = 2.09 units, Duration = 5.01 seconds
    Path 53: Length = 2.09 units, Duration = 6.18 seconds
    Path 54: Length = 2.09 units, Duration = 5.03 seconds
    Path 55: Length = 2.1 units, Duration = 5.01 seconds
    Path 56: Length = 2.11 units, Duration = 5.02 seconds
    Path 57: Length = 2.09 units, Duration = 5.06 seconds
    Path 58: Length = 2.09 units, Duration = 5.03 seconds
    Path 59: Length = 2.11 units, Duration = 5.38 seconds
    Path 60: Length = 2.09 units, Duration = 5.03 seconds
    Path 61: Length = 2.1 units, Duration = 5.01 seconds
    Path 62: Length = 2.07 units, Duration = 5.04 seconds
    Path 63: Length = 2.1 units, Duration = 5.04 seconds
    Path 64: Length = 2.1 units, Duration = 5.05 seconds
    Path 65: Length = 2.09 units, Duration = 6.18 seconds
    Path 66: Length = 2.08 units, Duration = 5.02 seconds
    Path 67: Length = 2.1 units, Duration = 5.01 seconds
    Path 68: Length = 2.11 units, Duration = 5.02 seconds
    Path 69: Length = 2.1 units, Duration = 5.01 seconds
    Path 70: Length = 2.1 units, Duration = 5.01 seconds
    Path 71: Length = 2.1 units, Duration = 6.22 seconds
    Path 72: Length = 2.09 units, Duration = 5.05 seconds
    Path 73: Length = 2.08 units, Duration = 5.01 seconds
    Path 74: Length = 2.09 units, Duration = 5.01 seconds
    Path 75: Length = 2.11 units, Duration = 5.01 seconds
    Path 76: Length = 2.11 units, Duration = 5.01 seconds
    Path 77: Length = 2.09 units, Duration = 6.21 seconds
    Path 78: Length = 2.09 units, Duration = 5.01 seconds
    Path 79: Length = 2.08 units, Duration = 5.01 seconds
    Path 80: Length = 2.14 units, Duration = 5.05 seconds
    Path 81: Length = 2.09 units, Duration = 5.09 seconds
    Path 82: Length = 2.13 units, Duration = 5.01 seconds
    Path 83: Length = 2.08 units, Duration = 5.31 seconds
    Path 84: Length = 2.1 units, Duration = 5.03 seconds
    Path 85: Length = 2.08 units, Duration = 5.02 seconds
    Path 86: Length = 2.1 units, Duration = 5.03 seconds
    Path 87: Length = 2.1 units, Duration = 5.04 seconds
    Path 88: Length = 2.08 units, Duration = 5.01 seconds
    Path 89: Length = 2.12 units, Duration = 6.22 seconds
    Path 90: Length = 2.1 units, Duration = 5.01 seconds
    Path 91: Length = 2.08 units, Duration = 5.02 seconds
    Path 92: Length = 2.09 units, Duration = 5.01 seconds
    Path 93: Length = 2.08 units, Duration = 5.06 seconds
    Path 94: Length = 2.08 units, Duration = 5.06 seconds
    Path 95: Length = 2.08 units, Duration = 6.14 seconds
    Path 96: Length = 2.09 units, Duration = 5.01 seconds
    Path 97: Length = 2.08 units, Duration = 5.05 seconds
    Path 98: Length = 2.1 units, Duration = 5.01 seconds
    Path 99: Length = 2.1 units, Duration = 5.01 seconds
    Path 100: Length = 2.09 units, Duration = 5.05 seconds

Planner: SPARS
  Status: Successful
  Total Time Taken: 0 seconds
  Number of Paths: 0
  Average Path Length: 0
  Shortest Path Length: 0
  Longest Path Length: 0
  Path Length Std Dev: 0
  Average Time Per Path: 0 seconds
  Time Per Path Std Dev: 0 seconds

  Paths:

Planner: SPARS2
  Status: Failed
  Error Message: Error occurred for planner SPARS2: Planner type SPARS2 is not supported.

Planner: RRT
  Status: Successful
